,FIPS_code,State,County,grpName,Lit_P1,Lit_P2,Lit_P3,Lit_A,Population,Male,Female,White,Black,Hispanic,Asian,AIAN,NHPI,Other_race,Less_HS,HS,More_HS,Eng_not_well,FB_after2010,FB_1990_2009,FB_before1990,FB,Poverty_100,Poverty_150,SNAP,Employed,Unemployed,Not_in_labor,OCC_Manage,OCC_Service,OCC_Sales,OCC_Natural,OCC_Military,OCC_Prod,No_Insurance,Total Literacy Score
0,1001,Alabama,Autauga County,all,0.205,0.384,0.411,261.7,39765.0,0.489,0.511,0.766,0.191,0.027,0.009,0.003,0.001,0.03,0.123,0.336,0.541,0.219,0.004,0.009,0.008,0.021,0.137,0.24,0.129,0.662,0.037,0.287,0.348,0.179,0.226,0.081,0.011,0.153,0.088,Average Literacy
1,1003,Alabama,Baldwin County,all,0.161,0.347,0.493,270.3,148385.0,0.489,0.511,0.865,0.095,0.044,0.007,0.008,0.0,0.024,0.098,0.278,0.624,0.083,0.006,0.015,0.011,0.032,0.118,0.206,0.081,0.67,0.04,0.288,0.361,0.18,0.257,0.096,0.0,0.106,0.108,Average Literacy
2,1005,Alabama,Barbour County,all,0.394,0.404,0.201,235.9,19450.0,0.533,0.467,0.466,0.48,0.042,0.006,0.002,0.0,0.046,0.269,0.355,0.376,0.211,0.002,0.02,0.004,0.027,0.272,0.418,0.265,0.483,0.073,0.444,0.254,0.168,0.225,0.114,0.0,0.239,0.123,Average Literacy
3,1007,Alabama,Bibb County,all,0.269,0.454,0.277,248.1,16970.0,0.543,0.457,0.767,0.221,0.024,0.0,0.004,0.0,0.009,0.179,0.439,0.383,0.183,0.003,0.004,0.003,0.01,0.152,0.261,0.128,0.511,0.048,0.442,0.245,0.178,0.196,0.153,0.0,0.228,0.081,Average Literacy
4,1009,Alabama,Blount County,all,0.248,0.37,0.382,258.5,41955.0,0.494,0.506,0.955,0.016,0.09,0.001,0.004,0.0,0.024,0.202,0.323,0.475,0.242,0.006,0.032,0.008,0.045,0.156,0.28,0.107,0.568,0.029,0.402,0.286,0.129,0.233,0.158,0.0,0.193,0.11,Average Literacy
5,1011,Alabama,Bullock County,all,0.447,0.423,0.13,227.3,7940.0,0.536,0.464,0.219,0.756,0.003,0.007,0.01,0.0,0.007,0.286,0.366,0.348,0.391,0.004,0.007,0.008,0.018,0.285,0.39,0.246,0.574,0.083,0.343,0.197,0.171,0.186,0.14,0.0,0.306,0.141,Average Literacy
6,1013,Alabama,Butler County,all,0.32,0.436,0.244,242.9,14380.0,0.468,0.532,0.524,0.449,0.003,0.011,0.001,0.0,0.016,0.189,0.404,0.407,0.479,0.004,0.005,0.001,0.01,0.244,0.391,0.193,0.591,0.052,0.356,0.27,0.168,0.183,0.118,0.001,0.26,0.114,Average Literacy
7,1015,Alabama,Calhoun County,all,0.25,0.376,0.374,256.9,85415.0,0.481,0.519,0.746,0.205,0.036,0.01,0.004,0.0,0.035,0.168,0.322,0.51,0.213,0.005,0.013,0.008,0.026,0.186,0.3,0.178,0.605,0.07,0.321,0.287,0.172,0.238,0.105,0.003,0.195,0.104,Average Literacy
8,1017,Alabama,Chambers County,all,0.299,0.423,0.278,247.2,24855.0,0.481,0.519,0.577,0.393,0.022,0.01,0.003,0.0,0.017,0.191,0.384,0.424,0.109,0.003,0.007,0.002,0.013,0.188,0.341,0.164,0.65,0.046,0.304,0.246,0.135,0.232,0.112,0.0,0.275,0.122,Average Literacy
9,1019,Alabama,Cherokee County,all,0.253,0.412,0.335,254.7,19320.0,0.497,0.503,0.931,0.05,0.016,0.002,0.005,0.0,0.012,0.205,0.382,0.413,0.094,0.0,0.002,0.004,0.007,0.161,0.293,0.172,0.589,0.033,0.378,0.286,0.146,0.182,0.119,0.0,0.267,0.09,Average Literacy
10,1021,Alabama,Chilton County,all,0.262,0.455,0.283,249.0,31825.0,0.492,0.508,0.833,0.096,0.077,0.004,0.006,0.0,0.061,0.182,0.434,0.384,0.292,0.007,0.037,0.006,0.051,0.194,0.328,0.182,0.602,0.046,0.352,0.251,0.147,0.24,0.154,0.001,0.208,0.148,Average Literacy
11,1023,Alabama,Choctaw County,all,0.318,0.432,0.25,244.0,9645.0,0.476,0.524,0.565,0.423,0.005,0.001,0.0,0.0,0.01,0.199,0.399,0.402,0.0,0.0,0.003,0.001,0.004,0.223,0.342,0.257,0.503,0.058,0.439,0.239,0.153,0.217,0.173,0.0,0.218,0.11,Average Literacy
12,1025,Alabama,Clarke County,all,0.322,0.459,0.219,241.5,17865.0,0.473,0.527,0.532,0.457,0.002,0.005,0.001,0.001,0.004,0.185,0.443,0.371,0.165,0.0,0.001,0.003,0.004,0.253,0.381,0.194,0.481,0.091,0.427,0.218,0.141,0.246,0.139,0.0,0.257,0.109,Average Literacy
13,1027,Alabama,Clay County,all,0.318,0.392,0.289,247.6,9800.0,0.483,0.517,0.832,0.148,0.031,0.0,0.009,0.0,0.011,0.267,0.337,0.396,0.159,0.0,0.016,0.004,0.019,0.191,0.333,0.149,0.622,0.045,0.333,0.226,0.149,0.188,0.123,0.0,0.314,0.132,Average Literacy
14,1029,Alabama,Cleburne County,all,0.279,0.416,0.305,251.6,10680.0,0.493,0.507,0.946,0.028,0.024,0.005,0.003,0.0,0.018,0.242,0.374,0.384,0.296,0.001,0.012,0.004,0.016,0.191,0.288,0.156,0.605,0.054,0.338,0.246,0.122,0.234,0.18,0.0,0.219,0.144,Average Literacy
15,1031,Alabama,Coffee County,all,0.224,0.354,0.421,261.7,36925.0,0.494,0.506,0.763,0.173,0.067,0.013,0.011,0.0,0.041,0.146,0.293,0.561,0.197,0.006,0.017,0.014,0.037,0.161,0.249,0.133,0.63,0.043,0.294,0.305,0.165,0.201,0.127,0.021,0.18,0.105,Average Literacy
16,1033,Alabama,Colbert County,all,0.233,0.381,0.386,259.3,39845.0,0.48,0.52,0.796,0.16,0.024,0.005,0.007,0.0,0.031,0.161,0.337,0.502,0.147,0.006,0.007,0.005,0.018,0.168,0.267,0.125,0.62,0.048,0.331,0.273,0.152,0.26,0.114,0.002,0.199,0.086,Average Literacy
17,1035,Alabama,Conecuh County,all,0.355,0.498,0.147,232.5,9065.0,0.478,0.522,0.513,0.465,0.018,0.0,0.002,0.0,0.02,0.21,0.48,0.31,0.0,0.002,0.002,0.005,0.008,0.264,0.402,0.176,0.491,0.09,0.419,0.157,0.192,0.246,0.129,0.0,0.276,0.157,Average Literacy
18,1037,Alabama,Coosa County,all,0.32,0.43,0.25,242.5,8315.0,0.5,0.5,0.654,0.332,0.001,0.0,0.001,0.0,0.013,0.232,0.385,0.383,0.373,0.005,0.001,0.0,0.006,0.144,0.331,0.141,0.525,0.067,0.408,0.179,0.22,0.247,0.147,0.0,0.207,0.1,Average Literacy
19,1039,Alabama,Covington County,all,0.243,0.4,0.358,256.9,26870.0,0.483,0.517,0.846,0.132,0.016,0.004,0.003,0.0,0.014,0.18,0.356,0.465,0.296,0.0,0.004,0.004,0.008,0.176,0.288,0.14,0.609,0.077,0.313,0.293,0.141,0.221,0.158,0.002,0.184,0.118,Average Literacy
20,1041,Alabama,Crenshaw County,all,0.284,0.414,0.302,250.4,10125.0,0.489,0.511,0.715,0.236,0.018,0.014,0.008,0.0,0.027,0.207,0.378,0.415,0.437,0.002,0.015,0.003,0.021,0.176,0.303,0.184,0.618,0.044,0.331,0.263,0.132,0.238,0.133,0.007,0.228,0.107,Average Literacy
21,1043,Alabama,Cullman County,all,0.226,0.403,0.371,258.5,59600.0,0.492,0.508,0.955,0.012,0.042,0.006,0.004,0.0,0.022,0.179,0.359,0.463,0.185,0.003,0.019,0.006,0.028,0.164,0.273,0.122,0.6,0.038,0.361,0.29,0.147,0.236,0.142,0.001,0.183,0.134,Average Literacy
