,FIPS_code,State,grpName,Lit_P1,Lit_P2,Lit_P3,Lit_A,Population,Male,Female,White,Black,Hispanic,Asian,AIAN,NHPI,Other_race,Less_HS,HS,More_HS,Eng_not_well,FB_after2010,FB_1990_2009,FB_before1990,FB,Poverty_100,Poverty_150,SNAP,Employed,Unemployed,Not_in_labor,OCC_Manage,OCC_Service,OCC_Sales,OCC_Natural,OCC_Military,OCC_Prod,No_Insurance
0,1,Alabama,all,0.239,0.367,0.394,258.9,3562940,0.485,0.515,0.684,0.265,0.041,0.013,0.005,0.0,0.032,0.147,0.309,0.544,0.209,0.007,0.02,0.008,0.035,0.18,0.286,0.15,0.625,0.052,0.319,0.34,0.165,0.236,0.096,0.003,0.159,0.107
1,2,Alaska,all,0.127,0.329,0.544,276.7,547755,0.523,0.477,0.653,0.032,0.068,0.062,0.142,0.012,0.099,0.076,0.276,0.648,0.11,0.014,0.038,0.024,0.076,0.102,0.176,0.103,0.677,0.058,0.231,0.361,0.167,0.221,0.124,0.022,0.106,0.155
2,4,Arizona,all,0.234,0.316,0.45,262.4,4909910,0.497,0.503,0.775,0.043,0.309,0.031,0.044,0.002,0.105,0.135,0.242,0.623,0.184,0.019,0.069,0.046,0.134,0.17,0.27,0.125,0.657,0.051,0.288,0.355,0.195,0.259,0.092,0.003,0.096,0.122
3,5,Arkansas,all,0.231,0.376,0.392,258.7,2152040,0.491,0.509,0.773,0.154,0.072,0.014,0.007,0.002,0.049,0.144,0.343,0.513,0.219,0.009,0.027,0.011,0.047,0.181,0.302,0.136,0.643,0.044,0.311,0.33,0.169,0.234,0.105,0.001,0.161,0.106
4,6,California,all,0.284,0.254,0.462,257.2,28708420,0.497,0.503,0.606,0.058,0.388,0.141,0.007,0.004,0.184,0.175,0.206,0.619,0.228,0.03,0.128,0.112,0.27,0.151,0.247,0.093,0.665,0.056,0.274,0.38,0.185,0.231,0.091,0.003,0.11,0.105
5,8,Colorado,all,0.166,0.297,0.537,272.0,4045095,0.502,0.498,0.842,0.041,0.213,0.03,0.009,0.002,0.076,0.089,0.216,0.696,0.181,0.015,0.057,0.026,0.098,0.115,0.193,0.082,0.726,0.041,0.224,0.41,0.17,0.229,0.093,0.008,0.09,0.094
6,9,Connecticut,all,0.172,0.318,0.51,271.4,2670850,0.488,0.512,0.767,0.105,0.154,0.044,0.003,0.0,0.082,0.098,0.272,0.631,0.17,0.023,0.072,0.047,0.142,0.101,0.163,0.124,0.717,0.057,0.222,0.425,0.176,0.228,0.073,0.003,0.094,0.064
7,10,Delaware,all,0.203,0.35,0.447,264.0,697745,0.484,0.516,0.691,0.219,0.09,0.039,0.004,0.0,0.047,0.107,0.312,0.581,0.162,0.018,0.05,0.024,0.091,0.121,0.196,0.121,0.688,0.048,0.259,0.398,0.177,0.233,0.085,0.002,0.104,0.067
8,11,District of Columbia,all,0.223,0.25,0.527,276.7,530430,0.474,0.526,0.407,0.477,0.107,0.038,0.003,0.0,0.075,0.097,0.176,0.727,0.142,0.035,0.069,0.036,0.14,0.174,0.245,0.144,0.7,0.063,0.23,0.617,0.152,0.165,0.026,0.004,0.036,0.047
9,12,Florida,all,0.237,0.343,0.42,258.9,14888015,0.489,0.511,0.757,0.161,0.247,0.027,0.003,0.001,0.052,0.124,0.29,0.586,0.228,0.034,0.099,0.069,0.202,0.155,0.26,0.144,0.666,0.053,0.277,0.345,0.202,0.266,0.092,0.003,0.091,0.149
10,13,Georgia,all,0.236,0.352,0.412,260.4,7487300,0.487,0.513,0.594,0.313,0.093,0.038,0.003,0.001,0.051,0.137,0.28,0.582,0.209,0.016,0.061,0.023,0.1,0.169,0.27,0.145,0.658,0.054,0.281,0.365,0.165,0.241,0.091,0.006,0.132,0.148
11,15,Hawaii,all,0.159,0.31,0.531,270.3,1041460,0.502,0.498,0.251,0.018,0.102,0.38,0.002,0.1,0.248,0.084,0.278,0.639,0.185,0.027,0.081,0.073,0.181,0.103,0.165,0.114,0.687,0.037,0.232,0.333,0.218,0.239,0.095,0.033,0.083,0.046
12,16,Idaho,all,0.164,0.342,0.494,269.8,1174970,0.501,0.499,0.91,0.007,0.122,0.014,0.013,0.001,0.055,0.098,0.274,0.628,0.197,0.01,0.031,0.018,0.059,0.145,0.252,0.113,0.692,0.04,0.265,0.342,0.177,0.235,0.118,0.002,0.126,0.121
13,17,Illinois,all,0.204,0.315,0.481,265.6,9435425,0.491,0.509,0.719,0.143,0.168,0.052,0.002,0.0,0.084,0.114,0.263,0.622,0.191,0.018,0.075,0.047,0.14,0.135,0.219,0.133,0.7,0.057,0.241,0.376,0.172,0.24,0.072,0.002,0.139,0.085
14,18,Indiana,all,0.187,0.371,0.442,266.3,4805570,0.493,0.507,0.839,0.093,0.067,0.021,0.002,0.0,0.045,0.117,0.338,0.546,0.179,0.012,0.028,0.011,0.05,0.146,0.238,0.115,0.698,0.046,0.255,0.333,0.166,0.227,0.088,0.001,0.185,0.103
15,19,Iowa,all,0.149,0.337,0.514,273.5,2238920,0.496,0.504,0.906,0.034,0.057,0.023,0.003,0.001,0.033,0.082,0.315,0.603,0.208,0.013,0.027,0.01,0.05,0.12,0.204,0.112,0.765,0.034,0.2,0.354,0.164,0.227,0.095,0.0,0.16,0.056
16,20,Kansas,all,0.169,0.305,0.526,271.3,2074200,0.498,0.502,0.849,0.058,0.115,0.028,0.008,0.001,0.056,0.095,0.262,0.643,0.19,0.013,0.04,0.017,0.07,0.128,0.216,0.086,0.726,0.038,0.226,0.377,0.163,0.222,0.097,0.007,0.134,0.096
17,21,Kentucky,all,0.219,0.375,0.406,261.0,3252175,0.493,0.507,0.873,0.08,0.034,0.013,0.002,0.001,0.031,0.148,0.331,0.521,0.191,0.01,0.021,0.006,0.036,0.183,0.285,0.161,0.645,0.048,0.302,0.333,0.165,0.235,0.092,0.004,0.171,0.079
18,22,Louisiana,all,0.271,0.378,0.351,251.5,3406325,0.489,0.511,0.624,0.322,0.05,0.017,0.006,0.0,0.031,0.157,0.338,0.505,0.176,0.01,0.02,0.012,0.042,0.196,0.301,0.16,0.636,0.051,0.308,0.33,0.191,0.236,0.117,0.003,0.122,0.124
19,23,Maine,all,0.134,0.363,0.503,273.1,1000325,0.489,0.511,0.946,0.013,0.015,0.011,0.006,0.0,0.023,0.079,0.323,0.598,0.087,0.007,0.014,0.015,0.036,0.129,0.221,0.153,0.717,0.041,0.239,0.367,0.182,0.232,0.106,0.001,0.112,0.09
20,24,Maryland,all,0.2,0.312,0.488,268.1,4448530,0.485,0.515,0.566,0.297,0.096,0.062,0.003,0.0,0.071,0.102,0.251,0.647,0.178,0.025,0.083,0.041,0.149,0.097,0.158,0.109,0.724,0.048,0.22,0.452,0.169,0.217,0.077,0.006,0.079,0.073
21,25,Massachusetts,all,0.173,0.292,0.536,272.9,5115815,0.485,0.515,0.789,0.074,0.112,0.063,0.002,0.0,0.072,0.097,0.247,0.656,0.195,0.033,0.079,0.05,0.162,0.111,0.174,0.123,0.731,0.048,0.22,0.454,0.175,0.216,0.067,0.001,0.086,0.03
22,26,Michigan,all,0.176,0.334,0.49,270.9,7320030,0.492,0.508,0.787,0.138,0.049,0.029,0.005,0.0,0.04,0.098,0.293,0.61,0.159,0.014,0.032,0.019,0.066,0.156,0.245,0.149,0.672,0.055,0.272,0.357,0.177,0.23,0.078,0.0,0.157,0.072
23,27,Minnesota,all,0.131,0.297,0.572,278.8,3995080,0.498,0.502,0.837,0.06,0.052,0.047,0.01,0.0,0.046,0.072,0.254,0.674,0.189,0.018,0.046,0.018,0.082,0.105,0.176,0.086,0.78,0.036,0.184,0.402,0.163,0.226,0.08,0.0,0.128,0.054
24,28,Mississippi,all,0.28,0.37,0.35,251.7,2162040,0.485,0.515,0.588,0.376,0.03,0.01,0.004,0.0,0.022,0.166,0.304,0.53,0.203,0.005,0.012,0.006,0.023,0.215,0.333,0.173,0.607,0.061,0.327,0.315,0.177,0.232,0.108,0.004,0.164,0.136
25,29,Missouri,all,0.189,0.349,0.462,266.0,4432670,0.491,0.509,0.824,0.116,0.04,0.019,0.004,0.001,0.037,0.108,0.309,0.583,0.16,0.009,0.022,0.009,0.04,0.146,0.24,0.122,0.697,0.044,0.254,0.358,0.176,0.241,0.088,0.003,0.134,0.104
26,30,Montana,all,0.131,0.36,0.509,272.8,756335,0.503,0.497,0.89,0.004,0.036,0.007,0.065,0.001,0.033,0.07,0.293,0.637,0.073,0.005,0.008,0.008,0.021,0.144,0.241,0.102,0.714,0.037,0.244,0.365,0.189,0.223,0.124,0.003,0.096,0.117
